,acceleration_band,cmf,dema_cross,elder_impulse,engulfing_zone,frama,htf_ema,linear_channel_rev,lob_maker,momentum_quality,narrow_range,order_flow_imbalance_v2,positional_scaling,price_action_momentum,price_cluster,relative_volume,roc_ma_cross,supertrend_multi,value_area,volatility_cluster,wick_reversal
acceleration_band,1.0,0.12787744793267106,0.19226711511315875,0.07594822845350377,-0.032877067265209524,0.05603162183988399,0.09099256925261194,0.036042780396308226,-0.001169881939775502,0.15030714465799733,0.12577417927614978,0.18151980982096225,-0.013838692073059048,0.0016618693012560616,0.1535596982327331,0.09248389563568345,0.14512506601336259,0.13127954258864657,0.019699570248071684,0.08988366574121152,-0.0009277924296880361
cmf,0.12787744793267103,1.0,0.027376578285696302,0.04439974514269487,-0.07328215970859871,-0.0007478627669277193,0.17082599261421594,-0.08081808757714448,-0.017210407833250223,0.20382996488707747,0.07228236651154768,0.16170569893896072,0.220409391998387,0.017533521284529497,0.016021650831140568,0.06536282290415432,0.1610147773519719,0.32903359890459893,0.0060798252205974766,0.005790417349551744,0.14462395819537288
dema_cross,0.19226711511315875,0.027376578285696302,1.0,0.08798550154659368,-0.07840987356578584,0.10821930491483282,0.026893150718274035,-0.06858366322321541,0.037582080977286804,0.06404981490204054,0.12202789845172009,0.11690476007153804,-0.056121690499545504,0.07174129747607988,0.10558619169926536,-0.00032494973162606566,0.04190627076898268,-0.006976322574646655,0.17092637654328638,0.06743624631205616,-0.00013365485804147663
elder_impulse,0.07594822845350377,0.04439974514269487,0.08798550154659368,1.0,-0.062131484115872854,0.4460727525822282,0.48008368061244333,0.08320658093981377,-0.00013354171058232916,0.050752665145823744,0.07732070785500658,0.15483060771046434,-0.13025204368414786,-0.05646794304784279,0.3621375177241672,0.028581178708269636,-0.033354835771920305,0.039228773496902875,0.3485486047602642,0.00029653746844483136,0.04734054421157334
engulfing_zone,-0.032877067265209524,-0.07328215970859871,-0.07840987356578584,-0.062131484115872854,0.9999999999999999,-0.09177888664446074,-0.05705724381048821,-0.03863797639669836,0.08045028411511554,-0.06392926203179315,-0.10328120357074717,-0.08149900707190734,0.11906931290551406,0.0753422610172076,-0.0003328596597146896,0.000689422234596663,-0.13346368597382235,-0.04511677886845153,-0.025472942584713377,-0.03636412841525991,-0.12675391299517322
frama,0.05603162183988399,-0.0007478627669277193,0.10821930491483282,0.44607275258222817,-0.09177888664446074,1.0,0.3380695028583752,0.08168261886962173,-0.022167412267565002,-0.002212962423492142,0.12850893188537435,0.137170836407195,-0.12773798421422164,0.021039847916701264,0.20553720077494197,0.021086071785075648,0.0244982766155663,-0.026091527281112047,0.3429031777318773,-0.038985474151923105,0.011589908959021157
htf_ema,0.09099256925261194,0.17082599261421594,0.026893150718274035,0.48008368061244333,-0.05705724381048821,0.3380695028583752,0.9999999999999998,0.13618821135325967,0.026719091419020912,0.03632861596093501,0.07100597293724685,0.09542726240989499,0.10454520273615968,-0.024650387649845708,0.23670745275895425,-0.002660571835063918,-0.000767591749983554,0.040978483530852705,0.28938589885866456,0.003064061008639975,0.013761878285563044
linear_channel_rev,0.036042780396308226,-0.08081808757714448,-0.06858366322321542,0.08320658093981377,-0.03863797639669836,0.08168261886962173,0.13618821135325967,1.0,-0.06903044579428438,-0.13052425935594247,0.13974983632430343,-0.02820483986488402,0.07128924916447504,-0.10299751708819127,0.1301423404048756,-0.13310087169469098,-0.03840044071804651,-0.10454485488872375,0.09391680069232047,-0.03528741641741754,-0.07345352020232632
lob_maker,-0.001169881939775502,-0.01721040783325022,0.037582080977286804,-0.00013354171058232918,0.08045028411511554,-0.022167412267565002,0.026719091419020912,-0.06903044579428438,0.9999999999999999,0.015329371842163236,-0.02536319807694878,0.13829830982040459,0.05110283109914794,0.21910836818872836,0.00031979663920283624,0.3331700862873315,-0.0001910967606644495,-0.11016439853857384,0.0493914909919528,-0.03341139015107387,-0.10198236616906739
momentum_quality,0.15030714465799733,0.20382996488707744,0.06404981490204052,0.05075266514582374,-0.06392926203179315,-0.002212962423492142,0.036328615960935014,-0.13052425935594247,0.015329371842163235,1.0,0.034781632418633135,0.14158319718108606,-0.09127510963583771,0.14190972202429902,-0.014270541726580079,0.051774846450799404,0.07262652142287687,0.4506646292718468,-0.06969652779672439,0.017134127513176604,0.1279088524449257
narrow_range,0.12577417927614978,0.07228236651154768,0.12202789845172009,0.07732070785500658,-0.10328120357074717,0.12850893188537435,0.07100597293724684,0.13974983632430343,-0.02536319807694878,0.034781632418633135,1.0,0.04961284250453584,-0.04099221165953812,0.047828701356637054,0.046808389828566534,0.023165044753247183,0.08292194790183749,0.018863426475200146,0.2253602305475496,0.13378593640820732,0.03917066318857009
order_flow_imbalance_v2,0.18151980982096227,0.16170569893896072,0.11690476007153802,0.15483060771046436,-0.08149900707190734,0.13717083640719502,0.09542726240989499,-0.028204839864884017,0.13829830982040459,0.14158319718108606,0.04961284250453585,0.9999999999999999,-0.04874212145899941,0.059229376951617556,0.0015791928045566811,0.22809804064674152,0.043557262656381074,0.0694199138136059,0.11437552735894156,0.00376687922905732,0.030376066505393734
positional_scaling,-0.013838692073059048,0.22040939199838697,-0.056121690499545504,-0.13025204368414783,0.11906931290551405,-0.12773798421422167,0.10454520273615968,0.07128924916447506,0.05110283109914794,-0.09127510963583771,-0.04099221165953812,-0.048742121458999414,1.0,0.08413888825398828,0.029460905304570142,0.0719415373510618,0.12049200584359752,-0.14070011532864093,-0.13031376235736472,-0.015476613459837498,-0.13447439290920518
price_action_momentum,0.0016618693012560616,0.017533521284529494,0.07174129747607988,-0.05646794304784279,0.0753422610172076,0.02103984791670126,-0.024650387649845708,-0.10299751708819126,0.21910836818872836,0.14190972202429902,0.04782870135663706,0.059229376951617556,0.08413888825398827,1.0,-0.0004542853421927942,0.1063239955575051,0.08134794590773266,0.03837293426408339,-0.022966204616182474,0.06364435851413364,-0.05740638082993795
price_cluster,0.1535596982327331,0.016021650831140568,0.10558619169926536,0.3621375177241672,-0.00033285965971468963,0.205537200774942,0.23670745275895422,0.13014234040487563,0.00031979663920283624,-0.014270541726580079,0.046808389828566534,0.0015791928045566811,0.029460905304570142,-0.0004542853421927942,1.0,-0.10297471252253947,0.04002689889154641,0.013238064352569424,0.2787791712798686,0.03110359916917838,0.019190543994954897
relative_volume,0.09248389563568345,0.06536282290415434,-0.0003249497316260656,0.028581178708269636,0.000689422234596663,0.021086071785075648,-0.002660571835063918,-0.13310087169469098,0.3331700862873315,0.051774846450799404,0.023165044753247183,0.22809804064674155,0.07194153735106182,0.1063239955575051,-0.10297471252253947,1.0,-0.0003684627142387294,0.009580066292900462,-0.09695000211544239,-0.03147562991319118,-0.059358818468978225
