symbol,strategy,overall_passed,consistency_score,passed_windows,total_windows,avg_sharpe,avg_return,avg_max_dd,avg_profit_factor,avg_trades,avg_win_rate,avg_final_balance,sharpe_std,rank_score,percentile,robustness_label
BTC/USDT,supertrend_multi,False,0.25,2,8,0.4262,0.058675,0.104962,1.1339,47.0,0.3657,10586.75,2.6187,72.6,p100,
BTC/USDT,price_cluster,False,0.125,1,8,0.3974,0.024975,0.11825,1.1248,45.1,0.3938,10249.75,1.4269,69.2,p95,
BTC/USDT,positional_scaling,False,0.125,1,8,-0.1004,0.013975,0.103662,1.1735,36.2,0.3646,10139.75,3.005,59.7,p80,
BTC/USDT,roc_ma_cross,False,0.25,2,8,-0.1139,0.010112,0.091338,1.1502,39.8,0.379,10101.12,2.6608,66.3,p90,
BTC/USDT,frama,False,0.0,0,8,0.0079,0.0004,0.096262,1.056,42.1,0.3886,10004.0,1.2646,59.2,p76,
BTC/USDT,narrow_range,False,0.0,0,8,-0.1018,-0.007937,0.111,1.0371,50.4,0.3855,9920.62,1.2799,60.1,p85,
BTC/USDT,htf_ema,False,0.0,0,8,-0.151,-0.013025,0.111425,1.0221,45.4,0.3855,9869.75,1.2595,57.4,p61,
BTC/USDT,dema_cross,False,0.0,0,8,-1.7022,-0.013525,0.022175,0.3921,3.0,0.1958,9864.75,1.2538,11.2,p0,
BTC/USDT,volume_breakout,False,0.0,0,8,-0.3519,-0.01455,0.157275,1.0363,78.1,0.375,9854.5,2.6464,57.7,p66,
BTC/USDT,momentum_quality,False,0.125,1,8,-0.8061,-0.028612,0.1535,0.998,66.4,0.3427,9713.88,2.9322,53.8,p47,
BTC/USDT,order_flow_imbalance_v2,False,0.0,0,8,-0.5481,-0.037775,0.148262,0.9778,76.6,0.3642,9622.25,1.8133,58.8,p71,
BTC/USDT,price_action_momentum,False,0.125,1,8,-0.8535,-0.04145,0.181562,1.0089,81.5,0.359,9585.5,2.9745,54.4,p52,
BTC/USDT,acceleration_band,False,0.0,0,8,-0.8672,-0.04275,0.14465,0.9688,45.1,0.3257,9572.5,2.1916,45.1,p38,
BTC/USDT,lob_maker,False,0.0,0,8,-0.5494,-0.0477,0.189212,0.9805,83.5,0.3607,9523.0,1.8096,57.3,p57,
BTC/USDT,engulfing_zone,False,0.0,0,8,-1.3776,-0.054438,0.099988,0.8118,25.4,0.3409,9455.62,1.5942,32.9,p28,
BTC/USDT,relative_volume,False,0.0,0,8,-1.4405,-0.074488,0.1404,0.859,58.6,0.3444,9255.12,1.7414,42.8,p33,
BTC/USDT,cmf,False,0.0,0,8,-1.2418,-0.084625,0.18275,0.895,75.4,0.3446,9153.75,1.6825,47.7,p42,
BTC/USDT,linear_channel_rev,False,0.0,0,8,-2.8231,-0.084975,0.127025,0.626,28.9,0.2754,9150.25,2.3436,13.9,p4,
BTC/USDT,volatility_cluster,False,0.0,0,8,-2.0175,-0.094412,0.154825,0.8162,60.0,0.3174,9055.88,2.533,32.9,p23,
BTC/USDT,value_area,False,0.0,0,8,-2.5014,-0.096775,0.155988,0.7346,46.4,0.3056,9032.25,2.5474,22.8,p14,
BTC/USDT,elder_impulse,False,0.0,0,8,-2.016,-0.1001,0.148525,0.7492,46.8,0.3143,8999.0,1.0914,32.4,p19,
BTC/USDT,wick_reversal,False,0.0,0,8,-2.7875,-0.111487,0.162612,0.6861,43.1,0.2865,8885.12,2.2727,18.5,p9,
